url,topic,content
https://github.com/encode/django-rest-framework,django,"# The base set of requirements for REST framework is actually
# just Django, but for the purposes of development and testing
# there are a number of packages that are useful to install.

# Laying these out as separate requirements files, allows us to
# only included the relevant sets when running tox, and ensures
# we are only ever declaring our dependencies in one place.

-r requirements/requirements-optionals.txt
-r requirements/requirements-testing.txt
-r requirements/requirements-documentation.txt
-r requirements/requirements-packaging.txt
"
https://github.com/saleor/saleor,django,"adyen==4.0.0
amqp==5.1.1; python_version >= ""3.7""
aniso8601==7.0.0
anyio==3.6.1; python_version >= ""3.7"" and python_full_version >= ""3.6.2""
asgiref==3.5.2; python_version >= ""3.7""
async-timeout==4.0.2; python_version >= ""3.7""
authlib==1.0.1
authorizenet==1.1.4
azure-common==1.1.28
azure-core==1.24.1; python_version >= ""3.6""
azure-storage-blob==12.12.0; python_version >= ""3.6""
azure-storage-common==2.1.0
babel==2.10.1; python_version >= ""3.6""
beautifulsoup4==4.7.1
billiard==3.6.4.0; python_version >= ""3.7""
boto3==1.24.7; python_version >= ""3.7""
botocore==1.27.7; python_version >= ""3.7""
braintree==4.15.2
brotli==1.0.9; platform_python_implementation == ""CPython"" and python_version >= ""3.7""
brotlicffi==1.0.9.2; platform_python_implementation != ""CPython"" and python_version >= ""3.7""
cachetools==5.2.0; python_version >= ""3.7"" and python_version < ""4.0"" and (python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.7"")
celery==5.2.7; python_version >= ""3.7""
certifi==2022.5.18.1; python_version >= ""3.7"" and python_version < ""4"" and (python_version >= ""3.0"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.4.0"" and python_version >= ""3.0"")
cffi==1.15.0; platform_python_implementation != ""CPython"" and python_version >= ""3.7""
charset-normalizer==2.0.12; python_version >= ""3.7"" and python_version < ""4"" and python_full_version >= ""3.5.0"" and (python_version >= ""3.0"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.4.0"" and python_version >= ""3.0"")
click-didyoumean==0.3.0; python_full_version >= ""3.6.2"" and python_full_version < ""4.0.0"" and python_version >= ""3.7""
click-plugins==1.1.1; python_version >= ""3.7""
click-repl==0.2.0; python_version >= ""3.7""
click==8.1.3; python_full_version >= ""3.6.2"" and python_full_version < ""4.0.0"" and python_version >= ""3.7""
colorama==0.4.4; python_version >= ""3.7"" and python_full_version < ""3.0.0"" and sys_platform == ""win32"" and platform_system == ""Windows"" or sys_platform == ""win32"" and python_version >= ""3.7"" and python_full_version >= ""3.5.0"" and platform_system == ""Windows""
cryptography==37.0.2; python_version >= ""3.6""
cssselect2==0.6.0; python_version >= ""3.7""
deprecated==1.2.13; python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_version >= ""3.7"" and python_full_version >= ""3.4.0""
dj-database-url==0.5.0
dj-email-url==1.0.5
django-appconf==1.0.5; python_version >= ""3.6""
django-cache-url==3.4.2
django-celery-beat==2.3.0
django-countries==7.3.2
django-filter==21.1; python_version >= ""3.6""
django-js-asset==2.0.0; python_version >= ""3.6""
django-measurement==3.2.4
django-mptt==0.13.4; python_version >= ""3.6""
django-phonenumber-field==6.1.0; python_version >= ""3.7""
django-prices-openexchangerates==1.1.0
django-prices-vatlayer==1.1.0
django-prices==2.2.0
django-redis==5.2.0; python_version >= ""3.6""
django-storages==1.12.3; python_version >= ""3.5""
django-timezone-field==5.0; python_version >= ""3.7"" and python_version < ""4.0""
django-versatileimagefield==2.2
django==3.2.13; python_version >= ""3.6""
draftjs-sanitizer==1.0.0
enmerkar==0.7.1
et-xmlfile==1.1.0; python_version >= ""3.6""
faker==13.13.0; python_version >= ""3.6""
fonttools==4.33.3; python_version >= ""3.7""
freezegun==1.2.1; python_version >= ""3.6""
google-api-core==2.8.1; python_version >= ""3.7""
google-auth==2.7.0; python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.7""
google-cloud-core==2.3.1; python_version >= ""3.7""
google-cloud-pubsub==2.13.0; python_version >= ""3.6""
google-cloud-storage==2.4.0; python_version >= ""3.7""
google-crc32c==1.3.0; python_version >= ""3.7""
google-i18n-address==2.5.1
google-measurement-protocol==1.1.0
google-resumable-media==2.3.3; python_version >= ""3.7""
googleapis-common-protos==1.56.2; python_version >= ""3.7""
graphene==2.1.9
graphql-core==2.3.2
graphql-relay==2.0.1
grpc-google-iam-v1==0.12.4; python_version >= ""3.6""
grpcio-status==1.46.3; python_version >= ""3.7""
grpcio==1.46.3; python_version >= ""3.7""
gunicorn==20.1.0; python_version >= ""3.5""
h11==0.13.0; python_version >= ""3.7""
html-to-draftjs==1.0.1
html2text==2020.1.16; python_version >= ""3.5""
html5lib==1.1; python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.5.0"" and python_version >= ""3.7""
httptools==0.4.0; python_version >= ""3.7"" and python_full_version >= ""3.5.0""
idna==3.3; python_version >= ""3.7"" and python_version < ""4"" and (python_version >= ""3.0"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.4.0"" and python_version >= ""3.0"") and python_full_version >= ""3.6.2""
importlib-metadata==4.11.4; python_version < ""3.10"" and python_version >= ""3.7""
isodate==0.6.1; python_version >= ""3.6""
jaeger-client==4.8.0; python_version >= ""3.7""
jmespath==1.0.0; python_version >= ""3.7""
jsonfield==3.1.0; python_version >= ""3.6""
kombu==5.2.4; python_version >= ""3.7""
lxml==4.9.0; python_version >= ""2.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.5.0""
markdown==3.3.7; python_version >= ""3.6""
maxminddb==2.2.0; python_version >= ""3.6""
measurement==3.2.0
micawber==0.5.4
mpmath==1.2.1; python_version >= ""3.7""
msrest==0.7.0; python_version >= ""3.6""
oauthlib==3.2.0; python_version >= ""3.6""
openpyxl==3.0.10; python_version >= ""3.6""
opentracing==2.4.0
packaging==21.3; python_version >= ""3.7""
petl==1.7.9; (python_version >= ""2.7"" and python_full_version < ""3.0.0"") or (python_full_version >= ""3.4.0"")
phonenumberslite==8.12.50
pillow==9.1.1; python_version >= ""3.7""
posuto==2022.6.0
prices==1.1.0
promise==2.3
prompt-toolkit==3.0.29; python_full_version >= ""3.6.2"" and python_version >= ""3.7""
proto-plus==1.20.5; python_version >= ""3.6""
protobuf==3.20.1; python_version >= ""3.7""
psycopg2==2.9.3; python_version >= ""3.6""
pyasn1-modules==0.2.8; python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.7""
pyasn1==0.4.8; python_version >= ""3.7"" and python_full_version < ""3.0.0"" and python_version < ""4"" and (python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.7"") or python_full_version >= ""3.6.0"" and python_version >= ""3.7"" and python_version < ""4"" and (python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.7"")
pybars3==0.9.7
pycparser==2.21; python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.4.0"" and python_version >= ""3.7""
pydyf==0.2.0; python_version >= ""3.7""
pyjwt==2.4.0; python_version >= ""3.6""
pymeta3==0.5.1
pyparsing==3.0.9; python_version >= ""3.7"" and python_full_version >= ""3.6.8""
pyphen==0.12.0; python_version >= ""3.7""
python-crontab==2.6.0
python-dateutil==2.8.2; python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.3.0"" and python_version >= ""3.7""
python-dotenv==0.20.0; python_version >= ""3.7""
python-http-client==3.3.7; python_version >= ""2.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.5.0""
python-json-logger==2.0.2; python_version >= ""3.5""
python-magic-bin==0.4.14; sys_platform == ""win32""
python-magic==0.4.27; python_version >= ""2.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.5.0""
pytimeparse==1.1.8
pytz==2022.1; python_version >= ""3.7"" and python_version < ""4.0""
pyxb==1.2.5
pyyaml==6.0; python_version >= ""3.7""
razorpay==1.3.0
redis==4.3.3; python_version >= ""3.7""
requests-oauthlib==1.3.1; python_version >= ""3.6"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.4.0"" and python_version >= ""3.6""
requests==2.28.0; python_version >= ""3.7"" and python_version < ""4""
rsa==4.8; python_version >= ""3.6"" and python_version < ""4"" and (python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.7"")
rx==1.6.1
s3transfer==0.6.0; python_version >= ""3.7""
sendgrid==6.9.7; (python_version >= ""2.7"" and python_full_version < ""3.0.0"") or (python_full_version >= ""3.5.0"")
sentry-sdk==1.5.12
six==1.16.0; python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.7""
sniffio==1.2.0; python_version >= ""3.7"" and python_full_version >= ""3.6.2""
soupsieve==2.3.2.post1; python_version >= ""3.6""
sqlparse==0.4.2; python_version >= ""3.7""
starkbank-ecdsa==2.0.3; python_version >= ""2.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.5.0""
stripe==3.3.0; (python_version >= ""2.7"" and python_full_version < ""3.0.0"") or (python_full_version >= ""3.4.0"")
sympy==1.10.1; python_version >= ""3.7""
text-unidecode==1.3
threadloop==1.0.2; python_version >= ""3.7""
thrift==0.16.0; python_version >= ""3.7""
tinycss2==1.1.1; python_version >= ""3.7""
tornado==6.1; python_version >= ""3.7""
types-redis==4.2.6
typing-extensions==4.2.0; python_version >= ""3.7""
tzdata==2022.1; python_version >= ""2""
urllib3==1.26.9; python_version >= ""3.7"" and python_full_version < ""3.0.0"" and python_version < ""4"" and (python_version >= ""3.0"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.4.0"" and python_version >= ""3.0"") or python_full_version >= ""3.5.0"" and python_version < ""4"" and python_version >= ""3.7"" and (python_version >= ""3.0"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.4.0"" and python_version >= ""3.0"")
uvicorn==0.17.6; python_version >= ""3.7""
uvloop==0.16.0; sys_platform != ""win32"" and sys_platform != ""cygwin"" and platform_python_implementation != ""PyPy"" and python_version >= ""3.7""
vine==5.0.0; python_version >= ""3.7""
watchgod==0.8.2; python_version >= ""3.7""
wcwidth==0.2.5; python_full_version >= ""3.6.2"" and python_version >= ""3.7""
weasyprint==55.0; python_version >= ""3.7""
webencodings==0.5.1; python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.5.0"" and python_version >= ""3.7""
websockets==10.3; python_version >= ""3.7""
wrapt==1.14.1; python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_version >= ""3.7"" and python_full_version >= ""3.5.0""
zipp==3.8.0; python_version < ""3.10"" and python_version >= ""3.7""
zopfli==0.2.1; python_version >= ""3.7""
"
https://github.com/Miserlou/Zappa,django,"#
# This file is autogenerated by pip-compile
# To update, run:
#
#    pip-compile --output-file=requirements.txt requirements.in
#
argcomplete==1.11.1       # via -r requirements.in (line 1)
boto3==1.14.2             # via -r requirements.in (line 2), kappa
botocore==1.17.2          # via boto3, s3transfer
certifi==2020.4.5.2       # via requests
cfn-flip==1.2.3           # via troposphere
chardet==3.0.4            # via requests
click==7.1.2              # via cfn-flip, kappa, pip-tools
docutils==0.15.2          # via botocore
durationpy==0.5           # via -r requirements.in (line 3)
future==0.18.2            # via -r requirements.in (line 11)
hjson==3.0.1              # via -r requirements.in (line 4)
idna==2.9                 # via requests
jmespath==0.10.0          # via -r requirements.in (line 5), boto3, botocore
kappa==0.6.0              # via -r requirements.in (line 6)
pip-tools==5.2.1          # via -r requirements.in (line 22)
placebo==0.9.0            # via kappa
python-dateutil==2.8.1    # via -r requirements.in (line 8), botocore
python-slugify==4.0.0     # via -r requirements.in (line 9)
pyyaml==5.3.1             # via -r requirements.in (line 10), cfn-flip, kappa
requests==2.23.0          # via -r requirements.in (line 13)
s3transfer==0.3.3         # via boto3
six==1.15.0               # via -r requirements.in (line 14), cfn-flip, pip-tools, python-dateutil
text-unidecode==1.3       # via python-slugify
toml==0.10.1              # via -r requirements.in (line 15)
tqdm==4.46.1              # via -r requirements.in (line 16)
troposphere==2.6.1        # via -r requirements.in (line 17)
urllib3==1.25.9           # via botocore, requests
werkzeug==0.16.1          # via -r requirements.in (line 19)
wheel==0.34.2             # via -r requirements.in (line 20)
wsgi-request-logger==0.4.6  # via -r requirements.in (line 21)

# The following packages are considered to be unsafe in a requirements file:
# pip
"
https://github.com/cookiecutter/cookiecutter-django,django,"cookiecutter==2.1.1
sh==1.14.2
binaryornot==0.4.4

# Code quality
# ------------------------------------------------------------------------------
black==22.3.0
isort==5.10.1
flake8==4.0.1
flake8-isort==4.1.1
pre-commit==2.19.0

# Testing
# ------------------------------------------------------------------------------
tox==3.25.0
pytest==7.1.2
pytest-cookies==0.6.1
pytest-instafail==0.4.2
pyyaml==6.0

# Scripting
# ------------------------------------------------------------------------------
PyGithub==1.55
gitpython==3.1.27
jinja2==3.1.2
requests==2.28.0
"
https://github.com/django-oscar/django-oscar,django,"# These requirements are only necessary when developing on Oscar.

# development
Werkzeug>=1.0,<2.1
django-debug-toolbar>=2.2,<3.3
django-extensions>=2.2,<3.2
psycopg2-binary>=2.8,<2.10

# Sandbox
Whoosh>=2.7,<2.8
django-environ>=0.4,<0.9
django-redis>=4.12,<5.3
pysolr>=3.9,<3.10
redis>=3.5,<4.2
requests>=2.25,<3
uWSGI>=2.0.19,<2.1
whitenoise>=5.2,<6.1

# Linting
flake8==4.0.1
flake8-debugger==4.0.0
isort==5.10.1

# Helpers
pyprof2calltree>=1.4,<1.5
ipdb>=0.13,<0.14
ipython>=7.12,<9

# Country data
pycountry
"
https://github.com/healthchecks/healthchecks,django,"cron-descriptor==1.2.24
cronsim==2.1
Django==4.0.5
django-compressor==4.0
fido2==0.9.3
psycopg2==2.9.3
pyotp==2.6.0
requests==2.27.1
segno==1.4.1
statsd==3.3.0
whitenoise==6.2.0"
https://github.com/jonaswinkler/paperless-ng,django,"#
# These requirements were autogenerated by pipenv
# To regenerate from the project's Pipfile, run:
#
#    pipenv lock --requirements
#

-i https://pypi.python.org/simple
--extra-index-url https://www.piwheels.org/simple
aioredis==1.3.1
arrow==1.1.1; python_version >= '3.6'
asgiref==3.4.1; python_version >= '3.6'
async-timeout==3.0.1; python_full_version >= '3.5.3'
attrs==21.2.0; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3, 3.4'
autobahn==21.3.1; python_version >= '3.7'
automat==20.2.0
backports.zoneinfo==0.2.1
blessed==1.18.1; python_version >= '2.7'
certifi==2021.5.30
cffi==1.14.6
channels-redis==3.3.0
channels==3.0.4
chardet==4.0.0; python_version >= '3.1'
charset-normalizer==2.0.4; python_version >= '3'
click==8.0.1; python_version >= '3.6'
coloredlogs==15.0.1; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3, 3.4'
concurrent-log-handler==0.9.19
constantly==15.1.0
cryptography==3.4.7
daphne==3.0.2; python_version >= '3.6'
dateparser==1.0.0
django-cors-headers==3.8.0
django-extensions==3.1.3
django-filter==2.4.0
django-picklefield==3.0.1; python_version >= '3'
django-q==1.3.9
django==3.2.6
djangorestframework==3.12.4
filelock==3.0.12
fuzzywuzzy[speedup]==0.18.0
gunicorn==20.1.0
h11==0.12.0; python_version >= '3.6'
hiredis==2.0.0; python_version >= '3.6'
httptools==0.2.0
humanfriendly==9.2; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3, 3.4'
hyperlink==21.0.0
idna==3.2; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3'
imap-tools==0.46.0
img2pdf==0.4.1
incremental==21.3.0
inotify-simple==1.3.5; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3'
inotifyrecursive==0.3.5
joblib==1.0.1; python_version >= '3.6'
langdetect==1.0.9
lxml==4.6.3; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3, 3.4'
msgpack==1.0.2
numpy==1.20.3
ocrmypdf==12.3.2
pathvalidate==2.4.1
pdfminer.six==20201018
pikepdf==2.16.1
pillow==8.3.1
pluggy==0.13.1; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3'
portalocker==2.3.0; python_version >= '3'
psycopg2-binary==2.9.1
pyasn1-modules==0.2.8
pyasn1==0.4.8
pycparser==2.20; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3'
pyopenssl==20.0.1; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3, 3.4'
python-dateutil==2.8.2
python-dotenv==0.19.0
python-gnupg==0.4.7
python-levenshtein==0.12.2
python-magic==0.4.24
pytz==2021.1
pyyaml==5.4.1
redis==3.5.3
regex==2021.8.3
reportlab==3.6.1; python_version >= '2.7' and python_version < '4'
requests==2.26.0; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3, 3.4, 3.5'
scikit-learn==0.24.0
scipy==1.7.1; python_version < '3.10' and python_version >= '3.7'
service-identity==21.1.0
six==1.16.0; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3'
sortedcontainers==2.4.0
sqlparse==0.4.1; python_version >= '3.5'
threadpoolctl==2.2.0; python_version >= '3.6'
tika==1.24
tqdm==4.62.1
twisted[tls]==21.7.0; python_full_version >= '3.6.7'
txaio==21.2.1; python_version >= '3.6'
typing-extensions==3.10.0.0
tzlocal==3.0; python_version >= '3.6'
urllib3==1.26.6; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3, 3.4' and python_version < '4'
uvicorn[standard]==0.15.0
uvloop==0.16.0
watchdog==2.1.3
watchgod==0.7
wcwidth==0.2.5
websockets==9.1
whitenoise==5.3.0
whoosh==2.7.4
zope.interface==5.4.0; python_version >= '2.7' and python_version not in '3.0, 3.1, 3.2, 3.3, 3.4'
"
https://github.com/liangliangyy/DjangoBlog,django,"coverage==6.4
bleach==5.0.0
Django==4.0.5
django-compressor==4.0
django-haystack==3.2.1
django-ipware==4.0.2
django-mdeditor==0.1.20
django-uuslug==2.0.0
elasticsearch==7.16.1
elasticsearch-dsl==7.4.0
gevent==21.12.0
jieba==0.42.1
jsonpickle==2.1.0
Markdown==3.3.7
mysqlclient==2.1.0
Pillow==9.1.1
Pygments==2.12.0
python-logstash==0.4.6
python-slugify==6.1.2
pytz==2022.1
raven==6.10.0
requests==2.28.0
urllib3==1.26.9
WeRoBot==1.13.1
Whoosh==2.7.4
user-agents==2.2.0
redis==4.3.3
"
https://github.com/LibrePhotos/librephotos,django,"Django==3.1.14
django-constance==2.7.0
django-cors-headers==3.5.0
django-chunked-upload==2.0.0
django-cryptography==1.0
django-extensions==3.0.9
django-filter==2.4.0
django-picklefield==3.0.1
django-redis==4.12.1
django-rq==2.5.1
django-bulk-update
django-silk==4.2.0
djangorestframework==3.12.4
djangorestframework-simplejwt==4.6.0
drf-extensions==0.7.0
drf-spectacular==0.21.2
face-recognition==1.2.3
Flask==1.1.4
Flask-Cors==3.0.9
Flask-RESTful==0.3.6
geopy==2.1.0
gunicorn==20.1.0
matplotlib==3.3.2 
networkx==2.6.3
nltk==3.6.7
markupsafe==2.0.1
Pillow==9.0.1
psycopg2==2.8.6
pycocotools==2.0.2
https://github.com/owncloud/pyocclient/archive/master.zip
pytz==2020.1
PyExifTool==0.4.9
PyJWT==2.4.0
rq==1.10.1
six==1.15.0
seaborn==0.11.0
sentence_transformers==1.2.0
serpy==0.3.1
sklearn==0.0
timezonefinder==5.2.0
tqdm==4.51.0
gevent==20.12.1
python-magic==0.4.18
Wand==0.6.6 
"
https://github.com/jpadilla/django-rest-framework-jwt,django,"# Laying these out as seperate requirements files, allows us to
# only included the relevent sets when running tox, and ensures
# we are only ever declaring out dependancies in one place.

-r requirements/optionals.txt
-r requirements/testing.txt
-r requirements/documentation.txt
-r requirements/codestyle.txt
-r requirements/packaging.txt
"
https://github.com/guohongze/adminset,django,"django==1.11.28
tornado==5.1.1
ansible==2.7.8
sh==1.12.9
mysqlclient==1.3.12
pytest==3.0.7
celery==4.2.1
django-auth-ldap==1.7.0
python-ldap==3.1.0
django-celery-beat==1.1.1
gunicorn==19.7.1
redis==2.10.5
psutil==5.2.2
schedule==0.4.3
pymongo==3.3.0
requests==2.20.0
django-db==0.0.7
ldap3==2.5.1
#elfinder requirements
enum34==1.1.6
ipaddress==1.0.18
asn1crypto==0.23.0
bcrypt==3.1.4
cffi==1.11.2
cryptography==2.3
django-storages==1.6.5
idna==2.6
olefile==0.44
paramiko==2.4.2
Pillow==4.3.0
pyasn1==0.4.1
pycparser==2.18
PyNaCl==1.2.0
python-magic==0.4.3
pytz==2017.3
six==1.11.0
"
https://github.com/WeblateOrg/weblate,django,"bleach>=3.1.1,<6.0
borgbackup>=1.1.11,<1.3
celery[redis]>=5.0.3,<5.3
charset-normalizer>=2.0,<3.0
cssselect>=1.0.0,<1.2
Cython>=0.29.14,<0.30
diff-match-patch==20200713
django-appconf>=1.0.3,<1.1
django-compressor>=2.4,<5
django-crispy-forms>=1.9.0,<1.15
django-filter>=2.4.0,<23.0
django-redis>=4.11.0,<6.0
Django[argon2]>=3.2,<4.2
djangorestframework>=3.11.0,<3.14
filelock>=3.7,<3.8
GitPython>=2.1.15,<3.2
hiredis>=1.0.1,<2.1
html2text>=2019.8.11,<2020.1.17
importlib-metadata>=3.6.0,<4.12; python_version < '3.8'
jellyfish>=0.7.2,<0.10,!=0.8.3,!=0.8.4,!=0.8.5,!=0.8.6,!=0.8.7,!=0.8.8
jsonschema>=4.5,<5
lxml>=4.6.3,<4.10
misaka>=2.1.0,<2.2
openpyxl>=2.6.0,<3.1,!=3.0.2
packaging>=20.5,<22.0
Pillow>=9.0.0,<10.0
pyahocorasick>=1.4,<1.5
pycairo>=1.15.3
Pygments>=2.6.0,<3.0
pygobject>=3.34.0
pyicumessageformat>=1.0.0,<1.1
pyparsing>=3.0.5,<3.1
python-dateutil>=2.8.1
python-redis-lock>=3.6.0,<3.8
requests>=2.26.0,<2.29
sentry_sdk>=0.13.0,<1.6
siphashc>=1.2,<3.0
social-auth-app-django==5.0.0
social-auth-core==4.3.0
translate-toolkit>=3.6.0,<3.8
translation-finder>=2.7,<3.0
user-agents>=2.0,<2.3
weblate-language-data>=2022.3
weblate-schemas==0.7
"
https://github.com/Gerapy/Gerapy,django,"apscheduler>=3.5.1,<=3.7.0
cryptography>=2.8
django>=2.2,<3.0
django-cors-headers>=3.2.0,<=3.7.0
django-apscheduler>=0.3.0,<=0.6.0
furl>=2.1.0
jinja2>=2.11.3
scrapy>=2.0.0
scrapy-redis>=0.6.8
scrapy-splash>=0.7.2
python-scrapyd-api>=2.1.2
redis>=2.10.5
requests>=2.20.0
pymongo>=3.9.0
pymysql>=0.7.10
pyquery>=1.2.17
beautifulsoup4>=4.7.0
djangorestframework>=3.11.2
websocket>=0.2.1
pyppeteer>=0.0.25
"
https://github.com/axnsan12/drf-yasg,django,"# this file is only used when deploying to heroku, because heroku insists on having a root-level requirements.txt
# for normal usage see the requirements/ directory
.[validation]
-r requirements/heroku.txt
"
